sep=,
imagehere,name,label,price
44\0\0.jpg,サーモン,44,825
19\1\0.jpg,ボタン海老,19,1078
57\0\0.jpg,玉子 1貫,57,132
44\0\1.jpg,サーモン 1貫,44,209
41\0\0.jpg,炙り〆サバ,41,680
79\0\0.jpg,ホタルイカ沖漬け,79,580
50\0\0.jpg,しらすおろし,50,480
20\0\0.jpg,エンガワユッケ,20,880
78\0\0.jpg,ほたて握り,78,420
18\1\0.jpg,海水うに握り,18,1200
55\0\0.jpg,タコから,55,780
44\0\2.jpg,サーモン,44,680
41\0\1.jpg,しめ鯖,41,680
81\0\0.jpg,マグロ,81,720
44\0\3.jpg,サーモン,44,248
81\0\1.jpg,マグロ,81,298
59\0\0.jpg,中トロ,59,598
21\0\0.jpg,大トロ,21,698
6\0\0.jpg,アナゴ,6,398
54\0\0.jpg,鯛,54,389
12\0\0.jpg,いくら,12,398
18\0\0.jpg,うに,18,698
68\0\0.jpg,ねぎとろ,68,298
9\1\0.jpg,アワビの水貝,9,2500
80\1\0.jpg,特大ボタンエビ,80,3000
81\0\2.jpg,まぐろの生ハム,81,640
44\0\4.jpg,生サーモン,44,830
81\0\3.jpg,鮪納豆,81,720
6\0\1.jpg,穴子,6,400
21\0\1.jpg,牛の大トロ,21,550
82\0\0.jpg,さくらます,82,330
41\0\2.jpg,生さば,41,330
18\1\1.jpg,生うに,18,2650
18\1\2.jpg,海水うに,18,2000
81\0\4.jpg,まぐろ赤身,81,385
19\0\0.jpg,ボタンえび,19,550
81\0\5.jpg,まぐろトロ,81,660
81\1\0.jpg,まぐろづくし,81,1210
77\0\0.jpg,あぶりとろ,77,330
6\0\2.jpg,上穴子,6,550
68\0\1.jpg,ねぎとろ,68,220
57\0\1.jpg,玉子,57,66
44\0\5.jpg,サーモン,44,66
44\0\6.jpg,炙りサーモン,44,66
11\0\0.jpg,いか,11,66
55\0\1.jpg,たこ,55,66
41\0\3.jpg,〆さば,41,66
26\0\0.jpg,かつお,26,66
15\0\0.jpg,いわし,15,132
5\0\0.jpg,あじ,5,132
19\0\1.jpg,海老,19,132
39\0\0.jpg,こはだ,39,132
19\0\2.jpg,甘えび,19,132
20\0\1.jpg,えんがわ,20,132
19\0\3.jpg,特大赤えび,19,176
33\0\0.jpg,金目鯛,33,176
6\0\3.jpg,あなご,6,176
54\0\1.jpg,たい,54,176
78\0\1.jpg,ほたて,78,176
12\0\1.jpg,いくら,12,176
77\0\1.jpg,ぶり,77,176
41\0\4.jpg,さば棒すし,41,220
44\0\7.jpg,サーモン押し寿司,44,220
4\0\0.jpg,赤貝,4,330
60\0\0.jpg,つぶ貝,60,330
9\0\0.jpg,あわび,9,330
19\0\4.jpg,ぼたんえび,19,550
18\1\3.jpg,うに,18,1078
41\1\0.jpg,さば棒すし,41,1650
44\1\0.jpg,サーモン押し寿司,44,1320
6\0\4.jpg,上穴子,6,605
57\0\2.jpg,玉子,57,107
55\0\2.jpg,たこ,55,107
44\0\8.jpg,サーモン,44,140
11\0\1.jpg,いか,11,140
19\0\5.jpg,海老,19,162
27\0\0.jpg,かにみそ,27,162
15\0\1.jpg,いわし,15,184
19\0\6.jpg,甘えび,19,184
5\0\1.jpg,あじ,5,184
39\0\1.jpg,こはだ,39,217
41\0\5.jpg,さば,41,217
26\0\1.jpg,かつお,26,217
78\0\2.jpg,ほたて,78,250
6\0\5.jpg,あなご,6,250
20\0\2.jpg,えんがわ,20,250
19\0\7.jpg,特大赤海老,19,250
54\0\2.jpg,たい,54,250
33\0\1.jpg,金目鯛,33,294
5\0\2.jpg,しまあじ,5,294
68\0\2.jpg,ねぎとろ,68,294
12\0\2.jpg,いくら,12,371
60\0\1.jpg,つぶ貝,60,437
4\0\1.jpg,赤貝,4,437
19\0\8.jpg,ぼたんえび,19,481
9\0\1.jpg,あわび,9,481
18\1\4.jpg,うに,18,1078
44\0\9.jpg,サーモンロール,44,748
44\0\10.jpg,サーモンハラス,44,759
41\0\6.jpg,がりさば,41,429
11\0\2.jpg,たこ/いか,11,480
54\0\3.jpg,つぼ鯛,54,600
70\0\0.jpg,はまち,70,300
12\0\3.jpg,いくら,12,480
19\0\9.jpg,甘えび,19,258
19\0\10.jpg,赤えび,19,168
19\0\11.jpg,ぼたんえび,19,598
45\0\0.jpg,道産ししゃも 3尾,45,780
28\0\0.jpg,かれい唐揚げ,28,650
27\1\0.jpg,かににぎり,27,3000
44\0\11.jpg,サーモン,44,880
18\1\5.jpg,うに,18,2850
44\0\12.jpg,根室産鮭,44,800
27\0\1.jpg,かに天ぷら,27,850
19\0\12.jpg,海老天ぷら,19,850
77\0\2.jpg,寒ブリ三昧,77,480
19\0\13.jpg,しまえび,19,320
19\0\14.jpg,甘えび,19,210
19\0\15.jpg,ぼたん海老,19,280
80\0\0.jpg,特大ぼたんえび,80,650
27\0\2.jpg,かにムキ身,27,280
27\0\3.jpg,タラバ蟹,27,650
18\0\1.jpg,上うに,18,650
18\0\2.jpg,うに（上）,18,650
12\0\4.jpg,いくらうに,12,380
12\0\5.jpg,いくら醤油漬,12,280
4\0\2.jpg,赤貝,4,530
54\0\4.jpg,天然真鯛,54,320
20\0\3.jpg,エンガワ,20,320
43\0\0.jpg,生さんま,43,280
41\0\7.jpg,さば,41,320
67\0\0.jpg,にしん,67,210
5\0\3.jpg,あじ,5,210
72\0\0.jpg,朝〆ひらめ,72,280
26\0\2.jpg,鰹（かつお）,26,210
44\0\13.jpg,とろサーモン,44,280
17\0\0.jpg,国産うなぎ,17,650
48\0\0.jpg,しらうお,48,210
10\0\0.jpg,あん肝（握り）,10,320
19\0\16.jpg,甘えび,19,258
19\0\17.jpg,赤えび,19,168
19\0\18.jpg,ぼたんえび,19,598
12\0\6.jpg,こぼれいくら,12,530
18\1\6.jpg,うに,18,2850
21\0\2.jpg,大トロ,21,800
